city,month,avg_temp,max_temp,min_temp,avg_score,rain_probability,recommendation,season,temp_range,comfort_index
Eilat,2015-05-31,296.053100233086,307.455,285.439,2.0,0.0,⭐️⭐️,Printemps,22.015999999999963,177.6318601398516
Eilat,2015-06-30,300.0160569444444,315.13,287.919,2.0,0.0,⭐️⭐️,Été,27.211000000000013,180.00963416666664
Eilat,2015-07-31,305.99944758064515,317.15,290.845,2.0,0.0,⭐️⭐️,Été,26.30499999999995,183.5996685483871
Eilat,2015-08-31,307.3602311827957,319.15,291.072,2.0,0.0,⭐️⭐️,Été,28.077999999999975,184.41613870967743
Eilat,2015-09-30,304.8697864614583,314.92,290.2,2.0,0.0,⭐️⭐️,Automne,24.720000000000027,182.92187187687497
Eilat,2015-10-31,300.1435845054126,313.15,283.658,1.978494623655914,0.020161290322580645,⭐️⭐️,Automne,29.491999999999962,179.48131199357016
Eilat,2015-11-30,294.14735502791524,305.15,283.132,1.926388888888889,0.07222222222222222,⭐️⭐️,Automne,22.017999999999972,174.3217463500825
Eilat,2015-12-31,287.24668991718545,298.66,276.81,1.9529569892473118,0.04704301075268817,⭐️⭐️,Hiver,21.850000000000023,170.93672362773063
Eilat,2016-01-31,286.55367924928095,296.59,274.854,1.9798387096774193,0.020161290322580645,⭐️⭐️,Hiver,21.73599999999999,171.32736883989116
Eilat,2016-02-29,290.4990634206968,305.15,278.26,1.9913793103448276,0.007183908045977011,⭐️⭐️,Hiver,26.889999999999986,174.08392081103878
Eilat,2016-03-31,293.6380728179167,307.15,282.383,1.9637096774193548,0.036290322580645164,⭐️⭐️,Printemps,24.766999999999996,175.09413401333063
Eilat,2016-04-30,299.04356531916386,312.15,285.077,1.9805555555555556,0.019444444444444445,⭐️⭐️,Printemps,27.07299999999998,178.84280585816498
Eilat,2016-05-31,301.1763819177634,317.12,287.971,2.0,0.0,⭐️⭐️,Printemps,29.149,180.70582915065805
Eilat,2016-06-30,303.71371056121944,318.66,290.948,2.0,0.0,⭐️⭐️,Été,27.712000000000046,182.22822633673167
Eilat,2016-07-31,305.02183602150535,315.15,293.4,2.0,0.0,⭐️⭐️,Été,21.75,183.0131016129032
Eilat,2016-08-31,303.51964055024325,315.77,293.601,2.0,0.0,⭐️⭐️,Été,22.168999999999983,182.11178433014595
Eilat,2016-09-30,301.6256426834222,314.15,291.038,1.9986111111111111,0.0,⭐️⭐️,Automne,23.111999999999966,180.9753856100533
Eilat,2016-10-31,295.8619091863736,303.746,288.515,1.9879032258064515,0.012096774193548387,⭐️⭐️,Automne,15.230999999999995,177.1542422860177
Eilat,2016-11-30,293.7859935683333,305.42,281.78,1.9819444444444445,0.013888888888888888,⭐️⭐️,Automne,23.640000000000043,175.85492947433332
Eilat,2016-12-31,287.07149167991935,297.78,277.15,1.9771505376344085,0.01881720430107527,⭐️⭐️,Hiver,20.629999999999995,171.67837887891935
Eilat,2017-01-31,286.420813172043,296.66,276.87,1.9946236559139785,0.005376344086021506,⭐️⭐️,Hiver,19.79000000000002,171.69119758064514
Eilat,2017-02-28,286.8069442518497,303.15,276.42,1.9791666666666667,0.020833333333333332,⭐️⭐️,Hiver,26.72999999999996,171.4591665511098
Eilat,2017-03-31,292.59049397733065,305.12,281.3,1.9905913978494623,0.009408602150537635,⭐️⭐️,Printemps,23.819999999999993,175.27203832188226
Eilat,2017-04-30,297.2808587291625,313.15,283.415,1.9722222222222223,0.02638888888888889,⭐️⭐️,Printemps,29.734999999999957,177.57684857083083
Eilat,2017-05-31,301.46447446236556,314.17,287.741,2.0,0.0,⭐️⭐️,Printemps,26.42900000000003,180.87868467741933
Eilat,2017-06-30,304.8562428135097,317.66,289.932,2.0,0.0,⭐️⭐️,Été,27.72800000000001,182.91374568810582
Eilat,2017-07-31,307.6556970427231,320.15,293.757,2.0,0.0,⭐️⭐️,Été,26.392999999999972,184.59341822563385
Eilat,2017-08-31,306.41246102150535,315.66,294.431,2.0,0.0,⭐️⭐️,Été,21.229000000000042,183.8474766129032
Eilat,2017-09-30,303.45876395472226,315.15,290.747,2.0,0.0,⭐️⭐️,Automne,24.402999999999963,182.07525837283336
Eilat,2017-10-31,298.66543794176425,313.15,287.438,1.8723118279569892,0.0,⭐️⭐️,Automne,25.71199999999999,179.19926276505853
Eilat,2017-11-30,,,,1.0,,⭐️,Automne,,
Eilat,2025-06-30,37.91,37.91,37.91,2.0,0.0,⭐️⭐️,Été,0.0,22.746
Haifa,2012-10-31,298.71494528043775,304.4,294.64,1.9986338797814207,0.0,⭐️⭐️,Automne,9.759999999999991,179.22896716826264
Haifa,2012-11-30,294.9444305555555,301.75,290.35,1.9277777777777778,0.07222222222222222,⭐️⭐️,Automne,11.399999999999977,174.79999166666664
Haifa,2012-12-31,290.44408400537634,295.88,287.24,1.6451612903225807,0.3548387096774194,⭐️,Hiver,8.639999999999986,163.6212891129032
Haifa,2013-01-31,288.1810559587823,294.93,281.78,1.7876344086021505,0.19623655913978494,⭐️,Hiver,13.150000000000034,167.02153680107583
Haifa,2013-02-28,288.79416282242113,295.2,284.43,2.0,0.0,⭐️⭐️,Hiver,10.769999999999982,173.27649769345268
Haifa,2013-03-31,290.1228534050201,300.92,284.63,2.0,0.0,⭐️⭐️,Printemps,16.29000000000002,174.07371204301208
Haifa,2013-04-30,291.55823706293705,300.6,287.0,1.9986111111111111,0.001388888888888889,⭐️⭐️,Printemps,13.600000000000023,174.89327557109556
Haifa,2013-05-31,295.3934623655914,303.2,291.6,2.0,0.0,⭐️⭐️,Printemps,11.599999999999966,177.23607741935484
Haifa,2013-06-30,297.2185439351847,306.48,289.26,1.9916666666666667,0.008333333333333333,⭐️⭐️,Été,17.220000000000027,178.08112636111082
Haifa,2013-07-31,298.45834139784944,302.834,293.359,1.9879032258064515,0.012096774193548387,⭐️⭐️,Été,9.475000000000023,178.71210161290318
Haifa,2013-08-31,298.8361733870968,304.246,293.727,1.9879032258064515,0.012096774193548387,⭐️⭐️,Été,10.519000000000005,178.9388008064516
Haifa,2013-09-30,298.15223587963055,303.899,291.274,1.9694444444444446,0.030555555555555555,⭐️⭐️,Automne,12.625,177.97467486111168
Haifa,2013-10-31,294.50786115590995,301.342,286.48,1.9435483870967742,0.056451612903225805,⭐️⭐️,Automne,14.861999999999966,175.0111683064492
